pressure;totalQueued;waitingTime;passedCars;noiseEmission;COEmission;CO2Emission;fuelConsumption;occupancy
3;1;0.0;0;131.42114328059284;417.30388357125133;11561.101663046393;4.969754308383741;0.04040948275862069
5;0;0.0;0;207.34501441138008;507.50569920027004;26656.24815951904;11.458400717439154;0.06734913793103449
7;1;0.0;1;274.90859388037285;725.1584083130914;27607.972602975522;11.8675738437029;0.10775862068965518
6;2;0.05;2;259.530769346238;592.3914803562185;21511.867583528907;9.247116579604853;0.10775862068965518
6;4;0.2;2;196.82622628225909;932.1310746744854;23465.100365019396;10.08694197640251;0.10775862068965518
7;4;0.4;1;201.80423812995375;1035.9083331721263;29915.834196145046;12.859878000620222;0.10775862068965518
12;6;0.61;1;266.72742282005913;1381.923597273195;32006.281011449435;13.758625994388343;0.17510775862068967
14;8;0.89;1;273.56366281978734;1313.7092210817978;36330.79394080777;15.617447941121622;0.20204741379310348
16;10;1.28;2;267.2454962475661;1661.0536180015688;38064.96961275147;16.363115506460527;0.24245689655172414
12;3;0.53;3;279.28834287532766;1335.356859485376;46278.78282316709;19.89355493614475;0.20204741379310348
4;3;0.33;8;274.59822389148945;1212.9251208262124;46705.18673871174;20.076732082939017;0.16163793103448276
1;5;0.47;8;191.29634816835633;805.8442881331617;15879.50134153549;6.826242204349042;0.12122844827586209
6;7;0.76;4;198.53168350667914;1434.8376740516924;28882.33279157472;12.41585129728302;0.13469827586206898
11;7;1.08;2;213.75222928369814;1689.8574022235703;47334.00654216185;20.34732880697411;0.17510775862068967
14;8;1.47;0;268.26667765872855;1387.998366551373;31326.306274872346;13.46634949591756;0.19615468570615824
15;11;1.99;1;263.22798471782005;1661.4762772861227;36458.20383416061;15.672465538165321;0.2155172413793104
13;14;2.58;3;199.144940924435;2042.4305411764035;41475.30486603309;17.829279932169996;0.21551724137931036
15;14;3.23;2;206.07437312888368;2606.4687004204507;54792.29965299172;23.553904323376315;0.22898706896551724
13;5;2.0;2;265.95023410559094;1710.0501694083348;45825.93919918777;19.699161278845637;0.20204741379310348
8;3;1.03;6;262.74488846710176;1065.084693764896;29469.635106671896;12.668090567851944;0.19200534651234538
4;3;0.62;7;257.3231447644429;922.9228787057207;31090.04344751616;13.36449506605016;0.15922256429288528
1;4;0.42;8;265.3769820415721;1044.9277602732723;29248.78653306024;12.573100121126537;0.13101162777068043
4;5;0.62;6;268.58368633565556;1241.2585320014555;39962.89658182966;17.178703553449303;0.13469827586206898
6;5;0.82;5;198.66366835021995;1225.8556260412445;30031.138736678447;12.909513815801752;0.14816810344827586
9;7;1.08;2;132.71074877555452;962.4077577712263;20577.937442309478;8.845936166118452;0.14816810344827586
12;9;1.49;1;201.7008474944679;1221.2108684830057;26891.543041810837;11.559989257924855;0.17510775862068967
16;10;1.98;0;270.61039344207535;2100.8741224730293;52605.814923042984;22.613694759375846;0.21551724137931033
11;2;0.93;2;274.3826056918464;1189.4744592351776;37668.65477248041;16.19246532100708;0.17510775862068967
4;4;0.35;7;255.34557612309746;728.1180204243263;24986.940854365042;10.741004209445077;0.14816810344827586
5;5;0.28;6;270.96934039669895;1122.3451456633736;36170.27873210471;15.548319362035848;0.14816810344827586
7;5;0.48;5;268.74411773681004;1308.855432222868;36478.414586913874;15.680900432494564;0.16163793103448276
10;6;0.72;3;205.79887199297917;1388.9904456681397;41083.67122314974;17.660454551753972;0.17510775862068967
9;8;1.06;4;200.46668459059887;1246.2243406795192;29642.748303083074;12.742577786415346;0.17510775862068967
14;10;1.47;1;193.5697436472696;1764.3252720939931;30102.14441202613;12.940418578380067;0.20204741379310345
15;12;1.98;1;261.4727578077114;1848.8838268955683;43154.417234110995;18.550895294048896;0.21551724137931036
16;12;2.57;1;266.1622301884689;1954.4042878380144;44461.54902783645;19.112852559796693;0.22898706896551727
13;7;1.59;2;267.5399260131164;1667.1593669727395;38022.126176706355;16.344700025923895;0.20204741379310345
8;3;0.98;6;275.66765208880656;1502.4753886732778;44801.36433739269;19.25861968025466;0.18857758620689657
10;5;0.8;5;270.649774412834;1404.2781206862458;46183.03032728982;19.85242266546736;0.20204741379310348
8;8;0.66;4;258.9967245525752;1293.3104074725234;33259.92593489152;14.29740408086564;0.16271398834184886
7;9;0.96;5;255.7005629162562;1390.2907905021323;30363.188119880684;13.052364397040428;0.16163793103448276
9;9;1.37;4;260.66161344101425;1658.2999472611243;35573.74497683635;15.29228744314076;0.17510775862068967
12;11;1.83;2;267.59446944131827;1790.2674241442542;40413.22417862496;17.372600703249397;0.18857758620689657
13;12;2.34;2;264.0690798175997;2074.4418321925873;43526.52180990134;18.71104356290312;0.20204741379310343
17;11;2.89;0;249.0536934452867;2243.072356616183;44300.34406785105;19.043728455394795;0.22898706896551724
15;6;1.71;2;277.2959292476146;1827.061368264459;50288.47262599431;21.61743995964024;0.22898706896551724
8;2;0.84;6;276.4484112632056;1161.465901274491;41787.708065912826;17.962985158145543;0.18857758620689657
7;6;0.53;6;200.30265303953337;943.4204334326179;19932.153566820154;8.568343604448271;0.17510775862068967
9;8;0.67;5;211.15728635884;1179.4999988160798;36466.120094766775;15.67550853502901;0.18857758620689655
12;9;1.05;3;268.67988715877425;1522.6737488353283;37461.729296767684;16.103708814906785;0.20686388239769962
12;11;1.55;2;195.01036863213525;1613.7379071078892;32376.468806989084;13.917955594706733;0.18857758620689655
13;13;2.17;2;136.10868274933796;2097.9599666181803;36282.805425282335;15.597357546358163;0.20204741379310345
15;14;2.82;1;184.45173026820714;2306.888888888889;36746.11111111111;15.796645702306076;0.21551724137931033
16;15;3.53;0;197.17066491591117;2258.9428912766516;40425.53931967052;17.378190877018675;0.21551724137931033
12;5;2.42;2;206.56082297457186;1945.4213367217985;44814.54152369035;19.264573235599034;0.18857758620689657
8;2;1.28;6;277.8564523717616;1426.3791049192826;49618.75486685558;21.329350870639068;0.18857758620689657
6;2;0.39;7;279.7518487899449;936.4299255990237;34462.38824137432;14.81406770753755;0.18908888209390942
