queue_average_reward;passed_cars_reward;pressure_reward;waiting_time_reward;noiseEmission_reward;COEmission_reward;CO2Emission_reward;fuel_reward;occupancy_reward;reward
-1;0;-3;0;-131.4211433;-417.3038836;-11561.10166;-4.969754308;-0.040409483;-9.969754308
1;0;-5;0;-75.92387113;-90.20181563;-15095.1465;-6.488646409;-0.026939655;-1.488646409
-1;1;-7;0;-67.56357947;-217.6527091;-951.7244435;-0.409173126;-0.040409483;-2.409173126
-1;1;-6;-0.05;15.37782453;132.766928;6096.105019;2.620457264;0;0.620457264
-2;0;-6;-0.15;62.70454306;-339.7395943;-1953.232781;-0.839825397;0;-10.8398254
0;-1;-7;-0.2;-4.978011848;-103.7772585;-6450.733831;-2.772936024;0;-5.772936024
-2;0;-12;-0.21;-64.92318469;-346.0152641;-2090.446815;-0.898747994;-0.067349138;-10.89874799
-2;0;-14;-0.28;-6.83624;68.21437619;-4324.512929;-1.858821947;-0.026939655;-11.85882195
-2;1;-16;-0.39;6.318166572;-347.3443969;-1734.175672;-0.745667565;-0.040409483;-7.745667565
7;1;-12;0.75;-12.04284663;325.6967585;-8213.81321;-3.53043943;0.040409483;34.46956057
0;5;-4;0.2;4.690118984;122.4317387;-426.4039155;-0.183177147;0.040409483;14.81682285
-2;0;-1;-0.14;83.30187572;407.0808327;30825.6854;13.25048988;0.040409483;3.250489879
-2;-4;-6;-0.29;-7.235335338;-628.9933859;-13002.83145;-5.589609093;-0.013469828;-27.58960909
0;-2;-11;-0.32;-15.22054578;-255.0197282;-18451.67375;-7.93147751;-0.040409483;-13.93147751
-1;-2;-14;-0.39;-54.51444838;301.8590357;16007.70027;6.880979311;-0.021046927;-4.119020689
-3;1;-15;-0.52;5.038692941;-273.4779107;-5131.897559;-2.206116042;-0.019362556;-14.20611604
-3;2;-13;-0.59;64.08304379;-380.9542639;-5017.101032;-2.156814394;2.78E-17;-11.15681439
0;-1;-15;-0.65;-6.929432204;-564.0381592;-13316.99479;-5.724624391;-0.013469828;-8.724624391
9;0;-13;1.23;-59.87586098;896.418531;8966.360454;3.854743045;0.026939655;48.85474304
2;4;-8;0.97;3.205345638;644.9654756;16356.30409;7.031070711;0.010042067;29.03107071
0;1;-4;0.41;5.421743703;142.1618151;-1620.408341;-0.696404498;0.032782782;2.303595502
-1;1;-1;0.2;-8.053837277;-122.0048816;1841.256914;0.791394945;0.028210937;-1.208605055
-1;-2;-4;-0.2;-3.206704294;-196.3307717;-10714.11005;-4.605603432;-0.003686648;-15.60560343
0;-1;-6;-0.2;69.92001799;15.40290596;9931.757845;4.269189738;-0.013469828;1.269189738
-2;-3;-9;-0.26;65.95291957;263.4478683;9453.201294;4.06357765;0;-14.93642235
-2;-1;-12;-0.41;-68.99009872;-258.8031107;-6313.6056;-2.714053092;-0.026939655;-15.71405309
-1;-1;-16;-0.49;-68.90954595;-879.663254;-25714.27188;-11.0537055;-0.040409483;-19.0537055
8;2;-11;1.05;-3.77221225;911.3996632;14937.16015;6.421229438;0.040409483;52.42122944
-2;5;-4;0.58;19.03702957;461.3564388;12681.71392;5.451461112;0.026939655;10.45146111
-1;-1;-5;0.07;-15.62376427;-394.2271252;-11183.33788;-4.807315153;0;-12.80731515
0;-1;-7;-0.2;2.22522266;-186.5102866;-308.1358548;-0.13258107;-0.013469828;-3.13258107
-1;-2;-10;-0.24;62.94524574;-80.13501345;-4605.256636;-1.979554119;-0.013469828;-12.97955412
-2;1;-9;-0.34;5.332187402;142.766105;11440.92292;4.917876765;0;-2.082123235
-2;-3;-14;-0.41;6.896940943;-518.1009314;-459.3961089;-0.197840792;-0.026939655;-19.19784079
-2;0;-15;-0.51;-67.90301416;-84.5585548;-13052.27282;-5.610476716;-0.013469828;-15.61047672
0;0;-16;-0.59;-4.689472381;-105.5204609;-1307.131794;-0.561957266;-0.013469828;-0.561957266
5;1;-13;0.98;-1.377695825;287.2449209;6439.422851;2.768152534;0.026939655;30.76815253
4;4;-8;0.61;-8.127726076;164.6839783;-6779.238161;-2.913919654;0.013469828;29.08608035
-2;-1;-10;0.18;5.017877676;98.19726799;-1381.66599;-0.593802985;-0.013469828;-13.59380299
-3;-1;-8;0.14;11.65304986;110.9677132;12923.10439;5.555018585;0.039333425;-12.44498142
-1;1;-7;-0.3;3.296161636;-96.98038303;2896.737815;1.245039684;0.001076057;-0.754960316
0;-1;-9;-0.41;-4.961050525;-268.0091568;-5210.556857;-2.239923046;-0.013469828;-5.239923046
-2;-2;-12;-0.46;-6.932856;-131.9674769;-4839.479202;-2.08031326;-0.013469828;-18.08031326
-1;0;-13;-0.51;3.525389624;-284.174408;-3113.297631;-1.33844286;-0.013469828;-6.33844286
1;-2;-17;-0.55;15.01538637;-168.6305244;-773.8222579;-0.332684892;-0.026939655;-1.332684892
5;2;-15;1.18;-28.2422358;416.0109884;-5988.128558;-2.573711504;0;28.4262885
