step_time,reward,total_stopped,total_wait_time,fuel_consumption,noise_emission
5.0,-8,0,0.0,-0.12243735763097947,-0.6165817011000805
10.0,-3,0,0.0,0.03971952550112664,-0.004959789318755163
15.0,-2,1,0.0,0.30284602991410686,0.5761540383131093
20.0,6,0,0.0,0.16274305954169982,0.30282609618877887
25.0,5,0,0.0,0.01129739333717305,0.28196607113113553
30.0,-7,0,0.0,0.12882927708644287,0.29461807373469445
35.0,-14,0,0.0,0.17377201255237046,1.1174489158190446
40.0,11,1,0.0,0.06605225438800068,1.2959831600374363
45.0,-15,3,7.0,0.14470884290291852,0.7633788037787808
50.0,0,0,0.0,0.26653739263415555,1.140859939211818
55.0,5,2,2.0,0.07814966216875338,0.9857868300622988
60.0,5,1,1.0,0.22810502694811818,1.14540509667484
65.0,2,0,0.0,0.12017601980339648,1.1350479856103133
70.0,6,2,6.0,0.11232654636744113,0.8053073768282297
75.0,7,2,2.0,0.14448228070601177,0.5299825114143291
80.0,7,1,7.0,0.07051001624001241,0.770139820737362
85.0,2,2,14.0,0.005712592765173535,0.7642627243468106
90.0,3,1,7.0,0.07402949498518507,0.5133727338607448
95.0,-9,3,15.0,-0.024439451322215044,0.35360971197863456
100.0,9,0,0.0,0.08579386358933946,0.28581529669524725
105.0,1,1,0.0,0.12716279399902122,0.5460306794397103
110.0,-3,0,0.0,0.08733639137225904,0.5185456535885185
115.0,3,1,2.0,0.029654025021215308,0.7470315736966301
120.0,-5,2,11.0,0.12458933270623086,0.5276378587108544
125.0,8,1,1.0,-0.04583206897522195,0.1945142803532176
130.0,3,2,6.0,-0.021759287263480608,0.20098170107263297
135.0,-18,0,0.0,0.2374840236907311,1.1619452123634986
140.0,7,0,0.0,0.1595408524759104,0.8463499944982422
145.0,12,1,4.0,0.1865148071319585,0.4777975935549051
150.0,11,3,14.0,0.008283296749906185,0.1948866365329735
155.0,-10,4,32.0,0.0637962355269888,0.48543330817837993
160.0,-4,1,14.0,0.3321775134821404,0.6133112672860024
165.0,-5,1,19.0,0.3241316306753854,0.6268620541873
170.0,0,3,28.0,-0.007836606037021368,0.18461039914786553
175.0,-8,7,50.0,0.06244431109211584,0.46276782525261795
180.0,-15,2,13.0,0.33783923200435817,1.1390550949006815
185.0,15,0,0.0,0.19444684465875642,0.8117263684875454
190.0,-3,2,3.0,0.19677356933755208,1.3140707101703075
195.0,-5,1,0.0,0.23982564966168657,1.4092233805181604
200.0,15,4,10.0,0.03721680239697193,1.2579068033161191
205.0,3,1,4.0,0.14498686311571846,1.0834809593590322
210.0,12,1,2.0,-0.026447755564999155,0.46655687337814733
215.0,16,3,13.0,-0.03717999444319724,0.20801118002877542
220.0,-22,6,31.0,0.13262096451596372,0.5208573657150432
225.0,-26,6,56.0,0.31197062041809065,0.8583639405628724
230.0,9,6,47.0,0.08011841044340741,0.7019696726261746
235.0,16,3,13.0,0.05466933752561281,0.7853013659254338
240.0,14,0,0.0,0.07328679294226156,0.5645947287672168
245.0,-12,1,1.0,0.17021864746013748,0.7924843178821865
250.0,-2,1,6.0,0.2138235164877366,0.7512232370862493
255.0,-10,2,15.0,0.0708359203374844,0.7625360627564701
260.0,16,1,9.0,-0.017120565180472707,-0.06680836246801192
265.0,-2,1,14.0,0.019445322892294618,0.22969715688433884
270.0,-7,0,0.0,0.07153835901794321,0.5167296921010383
275.0,8,0,0.0,-0.012579790079836409,0.4851098777225748
280.0,-2,2,3.0,0.11665345265273673,0.8336797986713281
285.0,0,0,0.0,0.20550805746018969,0.8785125016381394
290.0,2,2,9.0,0.04645097430393928,1.173882081522173
295.0,16,1,3.0,0.0753412587252964,0.52233808011267
300.0,-4,2,10.0,0.022942014559022755,0.7168057726003016
305.0,-8,0,0.0,0.1469267124704001,0.5938525380131788
310.0,9,0,0.0,-0.01490756794732136,0.437125270693999
315.0,-28,3,5.0,0.2211541320474294,1.4037439538830396
320.0,15,0,0.0,0.1850660827334672,0.7483380500584058
325.0,16,0,0.0,-0.12243735763097947,0.047363535869305626
330.0,-8,3,10.0,-0.04874085335845496,0.19381440072977837
335.0,-2,1,0.0,0.007734322410934771,0.2117973492174648
340.0,-7,0,0.0,0.19947313406889527,0.8752013148755569
345.0,2,1,4.0,-0.027139193339368713,0.7762677888089432
350.0,1,2,2.0,0.03112488157569309,0.5192551217065727
355.0,1,1,6.0,0.05087814540019968,0.5082943985063124
360.0,14,0,0.0,-0.12243735763097947,0.4028410459926562
365.0,-2,2,4.0,0.10691883906528692,0.528328909426406
370.0,-8,1,9.0,0.28412116580749996,0.881137477381554
375.0,-6,3,15.0,0.10005560759384095,0.5009261243199516
380.0,-5,1,3.0,0.30642853122378316,0.5642153486249868
385.0,-13,3,13.0,0.223302511407445,1.37806146266816
390.0,17,3,13.0,0.04331320146205114,0.798266715271984
395.0,8,1,0.0,0.12510345271819104,0.5106257753989325
400.0,-13,0,0.0,0.29805097614236176,0.9021544468071239
405.0,-17,1,4.0,0.3361642910254105,1.4411961412373246
410.0,13,3,12.0,0.11839967981315255,1.3318270309720768
415.0,14,2,9.0,-0.06001600859496302,0.6105579369349632
420.0,5,4,8.0,0.03835866983369222,0.5175740592930601
425.0,-10,1,2.0,0.23817496813153127,0.611610785746701
430.0,-19,1,7.0,0.23046952838614407,1.180432757583672
435.0,-7,3,17.0,0.06432875599101097,0.9857926659504552
440.0,6,2,6.0,0.09541801887702774,0.7968460949152415
445.0,12,1,9.0,0.07956032161570838,0.5172857664289701
450.0,-9,1,14.0,0.09668919050379622,0.24266257312272055
455.0,-19,3,23.0,0.08651483002806397,0.767613531914519
460.0,5,1,0.0,0.15105299778221798,0.7932609034122795
465.0,-4,0,0.0,0.23444102620033275,0.59133226324679
470.0,-10,1,0.0,0.16281276061634284,0.8442744432279541
475.0,7,0,0.0,0.0182167159398365,0.5361885746466104
480.0,-15,2,4.0,0.07426211492337864,0.5361094221693686
485.0,0,3,19.0,0.08141296262742648,0.5345449585576327
490.0,13,1,0.0,-0.003279704845323743,0.20937827220612906
495.0,-2,0,0.0,0.0655735775834417,0.5444378078248584
500.0,-6,0,0.0,0.2987711142167847,1.1877098412254985
505.0,9,0,0.0,0.20164411032699917,0.8824896280142422
510.0,15,1,2.0,-0.018379897192955703,0.2647711107744739
515.0,1,1,1.0,0.027750649692173716,0.5500068057190663
520.0,0,2,2.0,0.21798685574111398,0.7005243900072922
525.0,7,1,4.0,0.09289942547543133,0.831684457448987
530.0,2,2,10.0,0.04942985579691281,0.7643253274303954
535.0,11,1,3.0,0.03428266697871967,0.5265937973730547
540.0,4,1,8.0,-0.02165870729040588,0.4860232386571689
