step_time,reward,total_stopped,total_wait_time,fuel_consumption,noise_emission,waitingreward
5.0,0.0,1,0.0,0.09322765208358365,0.29639748765772184,-1
10.0,-4.0,0,0.0,0.24630863742221476,0.6159105337630265,-1
15.0,-10.0,1,0.0,0.15550871725790336,0.8865896599556091,-1
20.0,3.0,2,6.0,0.16670357430703966,0.5934243198610161,-4
25.0,3.0,1,0.0,0.14385335996571125,0.829799358835488,4
30.0,-8.0,1,1.0,0.22068051516782108,0.8012245857864545,-1
35.0,-2.0,3,9.0,0.27548681268139336,0.8792871164785349,-3
40.0,-2.0,3,5.0,0.39176571396932763,0.9367312443001654,4
45.0,-10.0,4,16.0,0.3774749123397947,0.9058274166621609,-4
50.0,-10.0,2,6.0,0.3390604002432288,0.9233600713098793,4
55.0,7.0,3,19.0,0.1843060561016064,0.8645337392618412,-4
60.0,10.0,2,7.0,0.11151451176151728,0.5812345220368386,4
65.0,6.0,3,9.0,0.22436146510636035,0.5615431074798332,-4
70.0,-6.0,2,19.0,0.33125060612769536,0.8864625333248846,-3
75.0,-9.0,2,29.0,0.24580468256425123,0.8757533801795869,-2
80.0,-9.0,2,2.0,0.24123682630190568,0.9037115118215032,4
85.0,0.0,3,6.0,0.16027705820539828,0.7083290199947303,-2
90.0,5.0,2,4.0,0.20325567674601908,0.8040771730428322,-3
95.0,-3.0,3,14.0,0.19744642469839505,0.8334576260216534,-3
100.0,-3.0,2,2.0,0.28244555649316333,0.8401719569638442,4
105.0,-8.0,2,10.0,0.1251623665905944,0.5684756117519502,-4
110.0,-8.0,2,6.0,0.18159424085305692,0.8412273506178686,4
115.0,3.0,3,16.0,0.31115492212455526,0.8745127419812477,-4
120.0,0.0,2,2.0,0.37655926529620437,0.8501521215800171,4
125.0,-4.0,4,14.0,0.2500484244415362,0.836401843961185,-4
130.0,-4.0,2,5.0,0.1074642396615623,0.5761187538358062,4
135.0,4.0,2,8.0,0.3251486734526146,0.8939645499976616,1
140.0,-1.0,0,0.0,0.11353555294163843,0.8302895181480333,-1
145.0,-1.0,3,6.0,0.20427651514415865,0.8533109328168564,-1
150.0,-6.0,4,17.0,0.26585896095401246,0.7972217587011037,-4
155.0,-6.0,2,5.0,0.27103468350837984,0.9017346850778277,4
160.0,2.0,3,14.0,0.28677665412299186,0.5749379099722137,-4
165.0,8.0,1,0.0,0.23632870360282987,0.5868604035470765,4
170.0,4.0,3,7.0,0.18688024017716098,0.5598079165182772,-4
175.0,4.0,4,10.0,0.2583173108758616,0.853564423215209,-4
180.0,-13.0,5,21.0,0.15910269930166576,0.5607065304702857,-4
185.0,9.0,4,11.0,0.20188547897987486,0.5773389751275397,-4
190.0,9.0,1,2.0,0.26422769969272397,0.8753497081593311,4
195.0,-8.0,5,17.0,0.3953231554965507,0.8952431221119518,-4
200.0,6.0,6,38.0,0.20397874063041574,0.5586527463530819,-4
205.0,6.0,2,2.0,0.254255806088038,0.6232083576459312,4
210.0,-5.0,1,7.0,0.29908719386474425,0.9032884929657458,-4
215.0,-2.0,3,4.0,0.16479277047061155,0.8624241977449807,4
220.0,-6.0,4,17.0,0.183885478317592,0.7645895376195335,-4
225.0,-6.0,1,4.0,0.14205841147909906,0.8664171160545897,4
230.0,3.0,1,0.0,0.31057196394497316,0.8454433538243314,4
235.0,3.0,1,5.0,0.12089645179045537,0.5880023164865863,-3
240.0,3.0,1,0.0,0.21062220629266243,0.5852029326489002,4
245.0,-5.0,2,2.0,0.3858353731470522,0.6347737020050225,-1
250.0,-9.0,2,7.0,0.2300584986756618,0.9037455924123766,-4
255.0,-9.0,2,2.0,0.05645028711991738,0.7752347609798715,4
260.0,5.0,1,2.0,0.10996844766145786,0.5445267545115223,1
265.0,-2.0,2,7.0,0.15618952855927798,0.7998398338535488,-4
270.0,4.0,1,12.0,0.04892407797227696,0.4729198324870236,-2
275.0,4.0,1,3.0,0.0641702007987646,0.5382362235326843,4
280.0,-15.0,2,8.0,0.18927671909555593,0.8501016374185977,-4
285.0,-9.0,0,0.0,0.3450518669892015,0.9249946784864028,4
290.0,-4.0,3,8.0,0.23452039580957298,0.8836901915780051,-4
295.0,-4.0,3,3.0,0.19363164817017647,0.7884522144571133,4
300.0,6.0,3,11.0,0.1568280516022363,0.8247792266489079,-4
305.0,-5.0,3,21.0,0.2746106002733808,0.8386789892692132,-4
310.0,-6.0,3,33.0,0.2608621056905004,0.8313606824416354,-3
315.0,-6.0,3,6.0,0.2267508629118571,0.6190990848089174,4
320.0,4.0,2,3.0,0.3521113127595805,0.920308989872825,4
325.0,-3.0,2,2.0,0.4218442531141497,0.9319326281092056,-1
330.0,4.0,4,10.0,0.29253190312711175,0.8958978480779217,-4
335.0,-6.0,5,28.0,0.2510878347484752,0.8716163660284096,-4
340.0,-6.0,2,1.0,0.2069035375923507,0.8691329662730244,4
345.0,-10.0,3,11.0,0.18192289859339214,0.5460204513433987,-4
350.0,9.0,3,13.0,0.1788339935279389,0.5655472391114971,1
355.0,-8.0,1,0.0,0.26595158228572524,0.8592352016153236,-1
360.0,1.0,0,0.0,0.33898388773123694,0.6252244015613275,-1
365.0,1.0,2,2.0,0.2998773025037757,0.9078374427019379,-1
370.0,-16.0,3,12.0,0.2889464346201012,0.9080109756637547,-4
375.0,-16.0,3,3.0,0.24121754326391776,0.87055778342263,4
380.0,8.0,2,7.0,0.2750118003365039,0.8643771399041451,-4
385.0,-3.0,5,26.0,0.28907467058396175,0.8141985363748914,-4
390.0,-3.0,2,2.0,0.1266787937567103,0.8415093788551813,4
395.0,-4.0,3,2.0,0.22164579273135002,0.8603372665916463,4
400.0,-8.0,3,12.0,0.1486067604227522,0.5479275106955828,-3
405.0,-8.0,1,2.0,0.19486229691226895,0.5820168087935624,4
410.0,-1.0,3,10.0,0.2960021411946561,0.5885617970155548,-4
415.0,-1.0,2,6.0,0.05950359956462734,0.2875534912348742,4
420.0,7.0,3,8.0,0.053362908498295586,0.23582797799000685,-3
425.0,-3.0,1,5.0,0.08711571275190344,0.583595406962919,-4
430.0,-3.0,2,7.0,0.25227798597045964,0.6290376685986941,-4
435.0,-13.0,4,25.0,0.2597592833555015,0.8895283273970512,-4
440.0,1.0,4,31.0,0.2903523568284946,0.8840990906546041,-1
445.0,-5.0,1,4.0,0.4864814533424741,0.9367241643303401,-3
450.0,-5.0,3,5.0,0.21678044926701384,0.8989563446536957,-3
455.0,5.0,6,28.0,0.22267197364101202,0.8737422634270756,-4
460.0,5.0,1,6.0,0.2572936748312377,0.825337490736997,4
465.0,1.0,3,16.0,0.13790816391216068,0.5212891760108481,-4
470.0,13.0,1,2.0,0.1028249051906884,0.560723629523274,4
475.0,-9.0,5,18.0,0.1762851506684657,0.8616951488383583,-4
480.0,-9.0,1,5.0,0.33731012637613017,0.6321002923780982,4
485.0,5.0,1,1.0,0.12486822760283098,0.6001233294152885,-1
490.0,-8.0,3,13.0,0.3158306207158421,0.8975495007440035,-3
495.0,-8.0,3,6.0,0.4356296506089722,0.9158760970766233,4
500.0,-4.0,4,17.0,0.22680795121286365,0.8720911283064323,-4
505.0,5.0,5,39.0,0.3187995276173499,0.7815554768673615,-4
510.0,5.0,2,5.0,0.313141346450773,0.9148963863068093,4
515.0,-6.0,1,10.0,0.0920958352076907,0.5190813818384516,-4
520.0,13.0,1,2.0,0.20132451827341324,0.6040792830966188,4
525.0,-16.0,1,7.0,0.20802475040209478,0.8797853677389847,-4
530.0,4.0,3,14.0,0.2115190407272418,0.8028563576696209,-4
535.0,4.0,2,4.0,0.17492488793947275,0.8420762405497056,4
540.0,-3.0,1,1.0,0.10353485979524404,0.22800142674193663,4
545.0,7.0,1,2.0,0.09721503421780409,0.29698446081888374,-4
550.0,-9.0,2,7.0,0.1728384430838996,0.5736623624344972,-2
555.0,-9.0,2,3.0,0.3760632405688195,0.6387425060521251,4
560.0,-14.0,1,8.0,0.19189402161947916,0.8554713838168696,-4
565.0,5.0,4,18.0,0.10471595423841913,0.7885101774451599,-4
570.0,5.0,1,6.0,0.39337644195368443,0.6464848597158511,4
575.0,-6.0,2,2.0,0.26351977844892754,0.8377600594423776,4
580.0,0.0,2,10.0,0.275881770555526,0.9084263300117582,-4
585.0,-6.0,2,20.0,0.24929274336315724,0.7682303805103459,-3
590.0,-6.0,2,4.0,0.11529641477421297,0.8074973020535559,4
595.0,-2.0,3,2.0,0.2547505526031369,0.9059594030266802,4
